"","x"
"1","cher"
"2","cpx"
"3","cpx"
"4","wrd"
"5","Cip4"
"6","aPKC"
"7","Cip4"
"8","vib"
"9","l(2)gl"
"10","wrd"
"11","Nrx-IV"
"12","fwe"
"13","Pvr"
"14","Pvr"
"15","Pvr"
"16","dlg1"
"17","Cip4"
"18","fwe"
"19","Amph"
"20","drk"
"21","Rab11"
"22","Fas3"
"23","cher"
"24","cora"
"25","lqf"
"26","Pvr"
"27","Pvr"
"28","Pvr"
"29","Myd88"
"30","trio"
"31","Atpalpha"
"32","cpx"
"33","sau"
"34","l(2)gl"
"35","for"
"36","Patj"
"37","sau"
"38","dlg1"
"39","312"
"40","Drice"
"41","mars"
"42","Pvf1"
"43","fwe"
"44","Vap33"
"45","dlg1"
"46","neur"
"47","neur"
"48","SH3PX1"
"49","Dronc"
"50","lqf"
"51","twf"
"52","Syx1A"
"53","for"
"54","dlt"
"55","wrd"
"56","Hem"
"57","for"
"58","arm"
"59","Sec5"
"60","rols"
"61","Pvr"
"62","Pvr"
"63","Pvr"
"64","Nrg"
"65","Mcr"
"66","cher"
"67","SPR"
"68","Fas3"
"69","mys"
"70","PRL-1"
"71","Fas2"
"72","Fas2"
"73","shi"
"74","Cont"
"75","Cont"
"76","neur"
"77","neur"
"78","dsh"
"79","Ank"
"80","baz"
"81","Psn"
"82","ena"
"83","kek5"
"84","kek5"
"85","kek5"
"86","Slc45-1"
"87","cora"
"88","Crag"
"89","l(2)gl"
"90","Apc2"
"91","Atpalpha"
"92","cno"
