,x
1,Xpd
2,Stt3B
3,dco
4,SmB
5,MED6
6,MED21
7,Tlk
8,Fmr1
9,Vha100-1
10,Abd-B
11,cib
12,spas
13,toc
14,orb
15,sog
16,msk
17,Uba2
18,smo
19,Bub3
20,pav
21,aPKC
22,piwi
23,Hnf4
24,crp
25,cpo
26,cad
27,Alh
28,Pp1-87B
29,exd
30,Csp
31,btz
32,kay
33,HnRNP-K
34,Dsp1
35,gus
36,l(2)gl
37,gus
38,crc
39,cnn
40,Mps1
41,bru1
42,Psa
43,Treh
44,Moe
45,Pka-R1
46,ERp60
47,dl
48,Psa
49,vas
50,sesB
51,Indy
52,Xpd
53,Vha100-1
54,Eb1
55,Trx-2
56,Rbp1
57,dap
58,pip
59,Adar
60,hook
61,CG1637
62,Sdc
63,CG12746
64,bys
65,ifc
66,Mps1
67,fne
68,larp
69,Sdc
70,Fib
71,CG1637
72,pip
73,AP-2alpha
74,SERCA
75,prage
76,msps
77,par-1
78,aft
79,pbl
80,lig
81,aft
82,Scr
83,Bsg25D
84,tmod
85,Art4
86,Dsp1
87,nos
88,cid
89,muskelin
90,Trap1
91,kto
92,Snp
93,aurA
94,RYBP
95,Amph
96,Rab11
97,hfp
98,eve
99,eve
100,Nop60B
101,wg
102,su(sable)
103,Vdup1
104,Moe
105,wisp
106,FoxP
107,HDAC1
108,flw
109,fzr
110,Pgk
111,jar
112,Pka-R1
113,Pka-R1
114,ZnT49B
115,flw
116,tmod
117,ebi
118,toc
119,Hr3
120,betaTub56D
121,run
122,trh
123,trh
124,HDAC4
125,Dsp1
126,Rbp1
127,l(3)07882
128,en
129,RanGAP
130,CG7997
131,crq
132,Fak
133,orb
134,Cul5
135,mio
136,tmod
137,dl
138,Plp
139,pbl
140,Deaf1
141,Adar
142,pont
143,usp
144,cact
145,sau
146,rept
147,Btk29A
148,l(2)gl
149,tacc
150,nerfin-1
151,lgs
152,Btk29A
153,G9a
154,smt3
155,homer
156,Mps1
157,Bsg
158,Stam
159,Cul1
160,kcc
161,cnn
162,hb
163,GCS2alpha
164,Vha100-1
165,for
166,Dp1
167,spd-2
168,pbl
169,peb
170,betaCOP
171,Ran
172,Jafrac1
173,CG5854
174,Taldo
175,wol
176,Torsin
177,MED31
178,Spase25
179,PCNA
180,MBD-like
181,MBD-like
182,dbe
183,HDAC1
184,Tao
185,me31B
186,Rcc1
187,Uba2
188,CG44243
189,CycB
190,gcl
191,sau
192,Sce
193,shu
194,jumu
195,prtp
196,CG5590
197,Rab7
198,repo
199,grp
200,Snr1
201,atl
202,PpD3
203,Pglym78
204,Orc2
205,CG2493
206,ktub
207,flw
208,ERp60
209,312
210,Bsg
211,tmod
212,Drice
213,Rab5
214,Dbp21E2
215,pasha
216,Jra
217,bru1
218,CG8507
219,Vap33
220,M1BP
221,LamC
222,Arp3
223,CDC45L
224,Sap47
225,Syx18
226,Mps1
227,Ama
228,CG8602
229,l(1)G0289
230,Cen
231,Pka-R1
232,CycA
233,neur
234,REG
235,Synd
236,Dronc
237,vis
238,Arpc1
239,cathD
240,Bgb
241,Moe
242,TBPH
243,metro
244,CG9581
245,sesB
246,eIF4A
247,Got1
248,Gdh
249,Ndc80
250,twf
251,yps
252,mio
253,sea
254,Mef2
255,mol
256,ninaB
257,cin
258,crc
259,Syx7
260,toc
261,gus
262,esc
263,kay
264,par-6
265,cad
266,msk
267,Acn
268,Indy
269,eya
270,kcc
271,for
272,Treh
273,Unc-89
274,Hr3
275,msl-2
276,Moca-cyp
277,Pka-R1
278,Vrp1
279,Bsg25D
280,CycE
281,smg
282,htl
283,Lam
284,pins
285,cas
286,prage
287,Alh
288,Hem
289,SoxN
290,alphaCOP
291,for
292,orb2
293,SMC1
294,Pcl
295,CG2938
296,Bub1
297,scra
298,skd
299,gwl
300,PEK
301,Myb
302,peb
303,rols
304,lid
305,hdc
306,ovo
307,pcm
308,dnd
309,phm
310,Pym
311,ct
312,Hnf4
313,WASp
314,Aven
315,mago
316,Sec63
317,CG3224
318,Orc5
319,Rbbp5
320,Sdc
321,Taf10b
322,achi
323,nub
324,Doc3
325,Prp3
326,Ptr
327,ovo
328,veli
329,cib
330,Sec15
331,Det
332,nonA
333,lab
334,Cyt-b5
335,Pc
336,Gapdh1
337,bru1
338,Eb1
339,Pabp2
340,Mad
341,CG8066
342,RPA3
343,sn
344,hrg
345,Moca-cyp
346,CG12746
347,gammaCOP
348,orb
349,egg
350,trsn
351,betaTub56D
352,Lam
353,His3.3A
354,Pdp1
355,zfh1
356,fu
357,Ptr
358,Eb1
359,ush
360,fzr
361,grh
362,Dl
363,stau
364,Tpi
365,crc
366,Calr
367,CG5854
368,alphaTub84B
369,RpL10Ab
370,pip
371,Usp12-46
372,slbo
373,Fs(2)Ket
374,Wnt5
375,Stat92E
376,msl-1
377,neur
378,His3.3A
379,DCP1
380,Pgk
381,par-1
382,scra
383,Pdp1
384,wbl
385,PH4alphaSG1
386,FoxP
387,tay
388,uri
389,aop
390,cic
391,eIF4G1
392,Deaf1
393,Fmr1
394,baz
395,Tlk
396,Start1
397,Hcf
398,retn
399,Bap111
400,grp
401,lig
402,mid
403,CG8036
404,sad
405,Prx3
406,DCP2
407,ktub
408,par-1
409,odd
410,smg
411,klu
412,CrebA
413,jing
414,bin
415,CG1637
416,mio
417,dimm
418,Klf15
419,Crag
420,grh
421,so
422,run
423,Taf4
424,Arr2
425,Pcl
426,O-fut1
427,Kr
428,l(2)gl
429,Apc2
430,cno
431,Ipk2
432,homer
433,Tao
434,CycB
435,tacc
436,Csp
437,skd
438,ph-p
439,boca
440,Tlk
441,vap
442,Taldo
443,FoxP
444,Snp
445,egg
446,AP-2alpha
447,Ada3
448,meigo
449,Gdh
450,feo
451,DCP2
452,HnRNP-K
453,toc
454,Non3
