flybase_id, gene
FBgn0283536,Vha13
FBgn0263120,Acsl
FBgn0014868,Ost48
FBgn0036806,Cyp12c1
FBgn0035811,Mcad
FBgn0031689,Cyp28d1
FBgn0036824,CG3902
FBgn0039300,RpS27
FBgn0010225,Gel
FBgn0004400,rhi
FBgn0001208,Hn
FBgn0264291,Det
FBgn0030613,Rab3-GEF
FBgn0001217,Hsc70-2
FBgn0004045,Yp1
FBgn0033005,CG3107
FBgn0013276,Hsp70Ab
FBgn0034645,ND-B12
FBgn0020765,Acp65Aa
FBgn0036760,CG5567
FBgn0020236,ATPCL
FBgn0037298,Sccpdh1
FBgn0011581,Ms
FBgn0038017,CG4115
FBgn0011661,Moe
FBgn0027844,CAH1
FBgn0026415,Idgf4
FBgn0012051,CalpA
FBgn0033989,CG7639
FBgn0040070,Trx-2
FBgn0027356,Amph
FBgn0036623,Agpat3
FBgn0020443,eRF3
FBgn0036820,Grx1
FBgn0011640,lark
FBgn0031497,SerRS
FBgn0015218,eIF4E1
FBgn0010516,wal
FBgn0050446,Tdc2
FBgn0032474,DnaJ-H
FBgn0033906,ReepB
FBgn0016119,ATPsynCF6
FBgn0040283,SMC1
FBgn0264492,CkIIalpha
FBgn0031975,Tg
FBgn0011224,heph
FBgn0033739,Dyb
FBgn0053910,His2B:CG33910
FBgn0013275,Hsp70Aa
FBgn0004838,Hrb27C
FBgn0033528,trsn
FBgn0036277,CG10418
FBgn0030616,RpL37a
FBgn0267350,Pi4KIIIalpha
FBgn0031310,Vps29
FBgn0014032,Sptr
FBgn0039580,Gfat2
FBgn0037351,RpL13A
FBgn0032538,Vajk2
FBgn0260446,GABA-B-R1
FBgn0039855,CG1638
FBgn0016701,Rab4
FBgn0034259,P32
FBgn0039713,RpS8
FBgn0023537,CG17896
FBgn0033924,CG8613
FBgn0039697,CG7834
FBgn0038610,CG7675
FBgn0261552,ps
FBgn0015221,Fer2LCH
FBgn0027785,NP15.6
FBgn0264695,Mhc
FBgn0025839,ND-B14.5A
FBgn0027109,NPF
FBgn0051472,sgll
FBgn0031830,COX5B
FBgn0037239,Sfxn1-3
FBgn0002940,ninaE
FBgn0003065,CG2150
FBgn0000045,Act79B
FBgn0032987,RpL21
FBgn0029512,Aos1
FBgn0030292,CG11752
FBgn0033538,CG11883
FBgn0005640,Eip63E
FBgn0040064,yip2
FBgn0000064,Ald1
FBgn0053113,Rtnl1
FBgn0030520,Pdcd4
FBgn0031453,Bacc
FBgn0042094,Ak3
FBgn0015772,Nak
FBgn0026372,RpL23A
FBgn0053094,Synd
FBgn0000024,Ace
FBgn0004888,Scsalpha1
FBgn0000527,e
FBgn0027588,GCS2alpha
FBgn0012037,Ance
FBgn0033631,Sod3
FBgn0024945,NitFhit
FBgn0086656,shrb
FBgn0034390,CG15093
FBgn0029118,ScsbetaG
FBgn0031418,CG3609
FBgn0030478,CG1640
FBgn0035510,Cpr64Aa
FBgn0034215,Mtap
FBgn0261625,GLS
FBgn0001224,Hsp23
FBgn0032715,CG17597
FBgn0039909,ND-49
FBgn0040309,Jafrac1
FBgn0034877,levy
FBgn0023179,amon
FBgn0039172,Spase22-23
FBgn0030975,SdhBL
FBgn0040493,grsm
FBgn0033879,Echs1
FBgn0032160,CG4598
FBgn0053834,His1:CG33834
FBgn0039562,Gp93
FBgn0039229,Saf-B
FBgn0044324,Chro
FBgn0264294,Cyt-b5
FBgn0004404,RpS14b
FBgn0283535,Vha26
FBgn0028473,Non1
FBgn0040529,COX7A
FBgn0039669,ND-20L
FBgn0284220,Top2
FBgn0029979,mahe
FBgn0003231,ref(2)P
FBgn0033728,Cpr49Ae
FBgn0037895,CG6723
FBgn0026084,cib
FBgn0264855,AP-2alpha
FBgn0017572,Mo25
FBgn0010014,CanB
FBgn0040074,retinin
FBgn0036258,eIF3l
FBgn0030539,CG1368
FBgn0283437,PPO1
FBgn0001218,Hsc70-3
FBgn0013467,igl
FBgn0032596,Prosbeta4
FBgn0000121,Arr2
FBgn0001125,Got2
FBgn0014163,fax
FBgn0035521,VhaM9.7-a
FBgn0013954,Fkbp12
FBgn0266420,Ote
FBgn0083228,Frq2
FBgn0014075,Uggt
FBgn0003279,RpL4
FBgn0004363,porin
FBgn0039915,Gat
FBgn0037643,ScsbetaA
FBgn0267791,HnRNP-K
FBgn0000044,Act57B
FBgn0260462,CtsF
FBgn0034908,CG5543
FBgn0036211,CG5946
FBgn0013334,Sap47
FBgn0058470,CG40470
FBgn0033021,CG10417
FBgn0063494,GstE6
FBgn0013675,mt:CoII
FBgn0016687,Nurf-38
FBgn0005664,Crys
FBgn0041100,park
FBgn0034718,wdp
FBgn0000479,dnc
FBgn0029857,wuho
FBgn0003660,Syb
FBgn0086691,UK114
FBgn0000229,bsk
FBgn0034935,Orcokinin
FBgn0033268,Obp44a
FBgn0000592,Est-6
FBgn0013576,mtd
FBgn0039358,CG5028
FBgn0020415,Idgf2
